                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5078,                0.71432,                 1.0138,                 1.5768,                0.13696,                0.52941,                0.10577,                0.04999,                0.13696,                0.52941,                0.10241,                0.04727,                 2.1427,                0.74633,                 7.2018,                 3.3302,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.3247,                0.52008,                 0.9615,                 1.4676,                0.04711,                0.52941,                0.03907,                0.02065,                0.04711,                0.52941,                0.03867,                0.01943,                 1.8847,                 0.6576,                 16.854,                  2.954,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.4375,                0.50325,                 1.0613,                  1.559,                0.34641,                0.58824,                0.42239,                0.27695,                0.34641,                0.58824,                0.42239,                0.26138,                 1.5607,                0.31445,                 3.7243,                 1.9846,              0.0013268,              0.0013268,              0.0013268
                     37,                  1.393,                0.69213,                 1.0009,                 1.5088,                0.93762,                0.52941,                0.62545,                0.39331,                0.93762,                0.52941,                0.62545,                0.38628,                 1.4253,                0.27258,                 5.1967,                 1.7053,               0.001307,               0.001307,               0.001307
                     38,                 1.4376,                0.53346,                 1.0237,                 1.4768,                0.74115,                0.52941,                0.56919,                0.37617,                0.74115,                0.52941,                0.56919,                0.36897,                 1.4409,                0.24116,                 4.7776,                  1.689,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3876,                0.46633,                0.93811,                 1.4507,                0.38507,                0.52941,                0.39185,                0.24308,                0.38507,                0.52941,                0.39185,                0.22574,                 1.6444,                 3.6598,                 5.0839,                 1.7991,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.3744,                0.57084,                0.99418,                 1.4822,                0.88189,                0.70588,                0.79518,                0.43984,                0.88189,                0.70588,                0.78783,                0.40186,                 1.7514,                  2.964,                 1.4892,                 1.9552,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.3869,                0.42394,                0.98555,                 1.5139,                0.87343,                0.81243,                0.85368,                0.49918,                0.87343,                0.81243,                0.85368,                0.45679,                 1.4625,                0.97566,                 1.2058,                 1.7183,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.3297,                0.51437,                0.95809,                 1.4995,                0.92151,                      1,                0.98889,                0.57808,                0.92151,                      1,                0.98889,                0.53419,                 1.4583,                0.32002,                0.96401,                 1.7882,               0.001208,               0.001208,               0.001208
                     43,                 1.4064,                0.42893,                0.92153,                 1.5551,                0.97343,                      1,                  0.995,                0.56411,                0.97343,                      1,                  0.995,                0.52536,                 1.4996,                0.36137,                0.95126,                 1.7732,              0.0011882,              0.0011882,              0.0011882
                     44,                   1.45,                0.55277,                 1.0232,                 1.5483,                0.93322,                 0.8221,                 0.9203,                0.53979,                0.93322,                 0.8221,                0.93132,                0.52087,                  1.507,                0.49656,                0.98503,                 1.7572,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.3815,                0.49299,                0.94616,                 1.5139,                0.98268,                0.70588,                 0.8502,                0.53913,                0.98268,                0.70588,                0.84968,                0.50117,                 1.4824,                0.45013,                0.91677,                 1.7205,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.2956,                0.49881,                0.85199,                 1.3968,                0.91559,                0.70588,                0.87867,                0.51986,                0.91559,                0.70588,                0.87867,                0.47881,                 1.4093,                0.39731,                0.88852,                 1.5926,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.3886,                0.53112,                 1.0212,                 1.4324,                0.88988,                0.70588,                0.85425,                0.49562,                0.88988,                0.70588,                0.85425,                0.46087,                 1.3887,                0.35365,                 1.1385,                 1.5437,               0.001109,               0.001109,               0.001109
                     48,                  1.286,                0.58047,                0.91896,                  1.367,                0.66669,                0.70597,                0.73823,                 0.4149,                0.66669,                0.70597,                0.73823,                0.41298,                  1.326,                0.39204,                 1.2183,                  1.563,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.3265,                0.59964,                0.92157,                 1.4249,                0.82017,                0.70588,                0.79962,                0.51926,                0.82017,                0.70588,                0.79962,                0.49794,                 1.3246,                0.42932,                 1.2858,                 1.5914,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.3603,                0.55174,                0.84117,                 1.4377,                0.72986,                0.70588,                0.65272,                0.43646,                0.72986,                0.70588,                0.65272,                0.41775,                 1.5274,                 2.2281,                 1.6124,                 1.8313,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2831,                0.49053,                0.85963,                 1.4142,                 0.6507,                0.58824,                0.51968,                0.32345,                 0.6507,                0.58824,                0.51968,                0.32262,                 1.6128,                  8.025,                 1.9874,                 1.8931,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.3333,                0.44648,                0.82352,                 1.4264,                0.92572,                0.73417,                0.85889,                0.55392,                0.92572,                0.73417,                0.85969,                0.50009,                 1.3497,                0.88989,                 1.0559,                 1.6202,                0.00101,                0.00101,                0.00101
                     53,                 1.3383,                0.45791,                0.82633,                 1.4484,                0.93127,                0.79808,                0.90653,                0.59029,                0.93127,                0.79808,                0.90653,                0.56428,                 1.2583,                0.28435,                 1.1723,                 1.5252,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.2047,                0.57706,                0.73818,                 1.3943,                 0.9349,                0.84568,                0.94804,                0.61691,                 0.9349,                0.84568,                0.94804,                0.60173,                 1.1976,                0.26662,                 1.4224,                 1.5069,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.3051,                0.46888,                0.79827,                 1.3974,                0.97263,                0.82353,                0.93625,                0.56651,                0.97263,                0.82353,                0.93625,                0.54581,                 1.2192,                0.25917,                 1.5382,                 1.5412,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.3288,                0.50896,                0.80737,                 1.4088,                      1,                0.92574,                  0.995,                0.64609,                      1,                0.92574,                  0.995,                0.61225,                 1.2809,                0.26629,                 1.1968,                   1.59,              0.0009308,              0.0009308,              0.0009308
                     57,                  1.316,                0.65292,                0.81285,                 1.4178,                0.99027,                0.88235,                 0.9785,                0.68281,                0.99027,                0.88235,                 0.9785,                0.63346,                  1.176,                0.26949,                0.90058,                 1.5013,               0.000911,               0.000911,               0.000911
                     58,                 1.2681,                0.50752,                0.85792,                 1.4216,                0.95865,                0.82353,                0.96294,                0.67516,                0.95865,                0.82353,                0.96294,                 0.6569,                 1.1779,                0.27213,                0.85078,                 1.4699,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.2778,                0.55819,                0.74034,                  1.385,                0.99782,                0.82353,                0.96625,                0.65809,                0.99782,                0.82353,                0.96255,                0.60886,                 1.1936,                0.28226,                0.87625,                 1.5019,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.3062,                0.55865,                0.80128,                  1.427,                0.97578,                      1,                  0.995,                0.64293,                0.97578,                      1,                  0.995,                0.62545,                 1.1864,                 0.2647,                0.79968,                 1.5389,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.2411,                0.53636,                0.75114,                 1.3698,                0.97567,                0.88235,                0.98889,                0.64539,                0.97567,                0.88235,                0.98889,                0.61047,                 1.1992,                 0.2463,                0.79847,                 1.5363,              0.0008318,              0.0008318,              0.0008318
                     62,                  1.189,                0.49603,                0.77913,                 1.3137,                0.87363,                      1,                0.97967,                0.64747,                0.87363,                      1,                0.97967,                0.60792,                 1.2161,                0.24241,                0.86596,                 1.5124,               0.000812,               0.000812,               0.000812
                     63,                 1.2327,                0.48206,                 0.7616,                 1.3419,                0.81572,                      1,                 0.9695,                0.65021,                0.81572,                      1,                 0.9695,                0.64751,                 1.2254,                0.24237,                0.87003,                 1.5602,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.2787,                0.61195,                0.80114,                 1.3551,                0.88675,                0.92196,                0.97967,                0.64983,                0.88675,                0.92196,                0.97967,                 0.5937,                 1.2552,                0.23929,                0.75447,                 1.6224,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.1831,                0.53517,                0.71069,                 1.3367,                0.99116,                0.88235,                0.98342,                0.63468,                0.99116,                0.88235,                0.98342,                0.58791,                 1.2963,                0.24412,                0.75065,                  1.597,              0.0007526,              0.0007526,              0.0007526
                     66,                  1.176,                0.52414,                0.70846,                 1.3278,                0.99581,                0.88235,                   0.97,                0.65168,                0.99581,                0.88235,                   0.97,                0.59478,                 1.3125,                0.25212,                0.73541,                 1.5922,              0.0007328,              0.0007328,              0.0007328
                     67,                  1.284,                 0.6483,                0.76199,                 1.3825,                0.99984,                0.88235,                 0.9785,                 0.5975,                0.99984,                0.88235,                 0.9785,                 0.5298,                 1.4063,                0.26395,                0.80175,                 1.6365,               0.000713,               0.000713,               0.000713
                     68,                 1.2933,                0.56751,                0.86634,                 1.4417,                      1,                0.80872,                0.95367,                0.56875,                      1,                0.80872,                0.95367,                0.54046,                 1.3744,                0.27541,                0.77108,                 1.6063,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2461,                0.58069,                0.72701,                 1.3379,                      1,                0.87122,                0.95179,                0.59361,                      1,                0.87122,                0.95179,                0.57416,                 1.3219,                0.27098,                0.79738,                 1.5709,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.3077,                0.46266,                 0.7082,                 1.3796,                      1,                0.87467,                0.98342,                0.63229,                      1,                0.87467,                0.98342,                0.58992,                 1.2764,                0.26916,                0.71077,                 1.5146,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.2728,                0.61376,                 0.7745,                 1.3949,                0.90414,                      1,                0.98889,                0.62877,                0.90414,                      1,                0.98889,                0.62128,                 1.2827,                0.26937,                0.67054,                 1.5093,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1314,                 0.4913,                0.73335,                 1.3163,                 0.9779,                      1,                  0.995,                0.65722,                 0.9779,                      1,                  0.995,                0.63133,                 1.2833,                0.26315,                0.93613,                 1.5539,               0.000614,               0.000614,               0.000614
                     73,                  1.183,                0.55098,                0.74696,                 1.3395,                      1,                0.87633,                 0.9785,                0.63204,                      1,                0.87633,                 0.9785,                0.61186,                 1.2858,                0.25922,                 1.1632,                 1.5483,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.1879,                0.40937,                0.72057,                 1.3357,                0.98082,                0.88235,                 0.9663,                0.60896,                0.98082,                0.88235,                 0.9663,                0.59772,                 1.3088,                0.26121,                  1.444,                 1.5564,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.1641,                0.46332,                0.70721,                 1.3422,                0.98041,                0.88235,                0.95179,                0.58707,                0.98041,                0.88235,                0.95179,                0.58921,                 1.3253,                0.26087,                 1.6234,                 1.5418,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.1456,                0.45817,                0.70364,                 1.3572,                      1,                0.86968,                 0.9598,                0.59804,                      1,                0.86968,                 0.9598,                0.59293,                 1.2492,                0.25493,                 1.9267,                 1.5016,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.1055,                 0.4008,                0.60505,                 1.2971,                0.95512,                0.82353,                0.95368,                 0.6223,                0.95512,                0.82353,                0.95368,                0.57642,                 1.1811,                0.25198,                 1.8732,                 1.4619,               0.000515,               0.000515,               0.000515
