                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.83346,                0.47521,                0.61254,                 1.1374,                0.95815,                0.89732,                0.95086,                0.62558,                0.94496,                0.88805,                0.92965,                0.56574,                 1.3986,                 1.4681,                0.63475,                 1.8737,             0.00042772,             0.00042772,             0.00042772
                     84,                0.84387,                0.41605,                0.61238,                  1.153,                0.95191,                0.88167,                0.95488,                0.62168,                0.93921,                0.87177,                0.92583,                0.57674,                 1.3522,                 1.6127,                0.63081,                 1.8262,             0.00042419,             0.00042419,             0.00042419
                     85,                0.85364,                0.56291,                0.57585,                 1.1557,                 0.9715,                0.89397,                0.95568,                0.60171,                0.95885,                0.88415,                0.92523,                0.56375,                 1.4402,                0.61888,                0.72056,                 1.9953,             0.00042065,             0.00042065,             0.00042065
                     86,                0.86177,                0.46842,                0.55905,                 1.1551,                0.95562,                0.92067,                0.95212,                0.62852,                0.94523,                0.89989,                0.92951,                0.60457,                   1.36,                 1.9366,                0.58067,                 1.9006,             0.00041712,             0.00041712,             0.00041712
                     87,                 0.8471,                0.41671,                0.60113,                 1.1968,                0.96515,                0.93629,                0.96441,                0.61858,                0.95378,                0.92667,                0.94544,                0.57123,                 1.4016,                0.73899,                0.65258,                 1.9307,             0.00041358,             0.00041358,             0.00041358
                     88,                0.80189,                0.42807,                0.52599,                 1.1469,                0.96415,                0.92267,                0.96087,                0.63736,                0.95172,                0.89976,                0.93929,                0.59645,                 1.3834,                 0.9592,                0.62881,                 1.8461,             0.00041005,             0.00041005,             0.00041005
                     89,                0.85164,                0.47184,                0.54559,                 1.1461,                 0.9445,                0.93478,                0.95521,                0.61854,                0.95032,                0.90187,                0.92871,                0.58216,                 1.4021,                 1.8117,                0.59134,                 1.8785,             0.00040652,             0.00040652,             0.00040652
                     90,                 0.8525,                0.54919,                0.56558,                 1.1786,                 0.9247,                0.93006,                0.95676,                0.60496,                0.89005,                0.91325,                0.93629,                0.56169,                 1.4203,                 1.6135,                0.66062,                 1.9578,             0.00040298,             0.00040298,             0.00040298
                     91,                0.81104,                0.53496,                0.53164,                 1.1256,                0.96239,                0.90557,                0.96274,                   0.62,                0.94879,                0.89686,                0.94484,                0.56683,                 1.3976,                 1.1127,                 0.6889,                 1.9965,             0.00039945,             0.00039945,             0.00039945
                     92,                0.80707,                0.54858,                0.54763,                 1.1135,                0.95244,                0.90299,                0.96309,                0.60813,                0.94036,                0.89299,                  0.948,                0.57816,                  1.435,                0.62178,                0.69858,                 2.0859,             0.00039591,             0.00039591,             0.00039591
