Episode,Reward,Penalties,State,Hashed_State,value
60,6,21,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 1, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",16,0.3790949684480919
60,6,21,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",18,1.5707906309313495
60,6,21,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,8.987455860187273
60,6,21,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,9.227957625779784
60,6,21,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,9.458839320748591
60,6,21,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,9.680485747918649
60,-5,22,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,-1.4141343758584515
60,6,22,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 11, ""open_monitor"": 1, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,9.893266318001903
60,-5,23,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 3, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",0,-4.0584229832443075
60,6,23,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",2,10.898829260149649
60,6,23,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 5, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,10.097535665281828
