                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.0769,                0.74476,                0.87493,                 1.3062,                0.85506,                0.78139,                0.84385,                0.55767,                0.85506,                0.78139,                0.84411,                0.56856,                 1.7257,                0.42894,                0.91819,                 1.9823,             0.00048322,             0.00048322,             0.00048322
                     39,                 1.0491,                0.63797,                0.85122,                 1.2978,                0.92072,                 0.7722,                 0.8622,                0.55185,                0.92072,                 0.7722,                0.86096,                0.55616,                 1.6663,                0.42914,                0.92356,                 1.9229,             0.00048031,             0.00048031,             0.00048031
                     40,                 1.0656,                0.62944,                0.85092,                 1.2927,                0.80281,                0.86041,                0.89053,                0.57985,                0.80281,                0.86041,                0.89053,                0.58354,                 1.6802,                 0.4397,                0.88149,                 2.0446,              0.0004774,              0.0004774,              0.0004774
                     41,                 1.0495,                0.66117,                0.89623,                 1.3228,                0.84323,                0.74286,                0.83759,                0.53636,                0.84323,                0.74286,                0.83759,                0.54877,                 1.6633,                0.44662,                0.99294,                 2.0501,             0.00047449,             0.00047449,             0.00047449
                     42,                 1.0388,                0.65823,                0.85026,                 1.3018,                 0.7943,                0.84342,                0.86232,                  0.566,                 0.7943,                0.84342,                0.86232,                0.55917,                 1.5032,                0.42074,                0.94174,                 1.7796,             0.00047158,             0.00047158,             0.00047158
                     43,                 1.1091,                0.73176,                0.89382,                 1.3224,                0.70855,                0.81172,                0.84346,                0.56572,                0.70855,                0.81172,                0.84154,                0.57862,                 1.4242,                0.49161,                0.81575,                 1.7052,             0.00046867,             0.00046867,             0.00046867
                     44,                 1.0739,                0.63553,                0.88725,                 1.3047,                 0.7664,                0.79821,                0.84778,                0.54415,                0.77965,                 0.8086,                 0.8523,                 0.5506,                 1.5736,                0.45063,                0.85178,                 1.7853,             0.00046575,             0.00046575,             0.00046575
                     45,                 1.0676,                 0.8086,                0.87327,                 1.3302,                0.76575,                0.86288,                 0.8587,                0.57559,                0.77664,                0.87386,                0.87119,                0.58717,                 1.6113,                0.58447,                 0.6995,                 1.8182,             0.00046284,             0.00046284,             0.00046284
                     46,                0.98569,                 0.6994,                0.80033,                 1.2525,                0.91128,                0.79553,                0.89312,                0.57599,                0.89258,                0.77727,                  0.875,                0.57703,                 1.5301,                 0.4573,                0.73668,                 1.7613,             0.00045993,             0.00045993,             0.00045993
                     47,                 1.0489,                0.64979,                0.78012,                 1.2629,                0.85388,                0.85498,                0.90186,                0.59369,                0.85388,                0.85498,                0.90186,                0.60733,                 1.4829,                0.36872,                0.87659,                 1.7272,             0.00045702,             0.00045702,             0.00045702
                     48,                 1.0661,                0.79371,                0.83483,                 1.2873,                0.82756,                0.78146,                0.86479,                0.57637,                0.82756,                0.78146,                0.87277,                0.57869,                 1.6337,                0.40829,                0.91589,                 1.9339,             0.00045411,             0.00045411,             0.00045411
                     49,                 1.0662,                0.72381,                0.86262,                  1.271,                0.82244,                 0.7168,                0.80592,                0.52875,                0.82244,                 0.7168,                0.80233,                0.51499,                 1.5984,                0.46148,                0.87273,                 1.8863,              0.0004512,              0.0004512,              0.0004512
                     50,                 1.0326,                0.67086,                0.81751,                 1.2712,                0.82547,                0.83612,                0.84087,                0.54655,                0.82547,                0.83612,                0.84087,                0.55231,                 1.5998,                0.47992,                0.92297,                 1.8705,             0.00044829,             0.00044829,             0.00044829
                     51,                 1.0046,                0.78866,                0.78951,                  1.257,                0.86408,                0.75261,                0.84567,                0.53488,                0.86408,                0.75261,                0.84567,                0.53886,                 1.6221,                0.57053,                0.78847,                    1.9,             0.00044538,             0.00044538,             0.00044538
                     52,                0.99709,                0.67322,                0.77486,                 1.2696,                0.86413,                0.83664,                0.87461,                 0.5472,                0.86413,                0.83664,                0.87461,                0.58507,                 1.7472,                0.53055,                0.85738,                 2.2019,             0.00044247,             0.00044247,             0.00044247
                     53,                0.96647,                0.61489,                0.76265,                 1.2624,                0.89584,                 0.8263,                0.86643,                0.56705,                0.89584,                 0.8263,                0.86643,                0.58416,                 1.6544,                 0.4648,                0.84388,                 1.9526,             0.00043956,             0.00043956,             0.00043956
                     54,                0.96935,                0.73371,                  0.726,                 1.2482,                0.90238,                0.84275,                0.87459,                0.56016,                0.90238,                0.84275,                0.87459,                0.58084,                 1.6281,                0.47832,                 0.7283,                 1.9325,             0.00043665,             0.00043665,             0.00043665
                     55,                 1.0253,                0.69446,                0.76502,                 1.2557,                 0.8402,                0.81617,                0.86032,                0.55474,                 0.8402,                0.81617,                0.86032,                0.57015,                 1.6638,                0.51829,                0.73385,                 1.9536,             0.00043374,             0.00043374,             0.00043374
                     56,                0.97693,                0.66582,                0.72313,                 1.2209,                0.82626,                0.87787,                0.85361,                0.56574,                0.82626,                0.87787,                0.85361,                0.56784,                 1.6015,                0.47096,                0.75189,                 1.8666,             0.00043083,             0.00043083,             0.00043083
                     57,                0.94695,                0.61212,                0.76252,                 1.2327,                0.93099,                  0.842,                  0.886,                0.59249,                0.93099,                  0.842,                  0.886,                0.60827,                 1.5552,                0.48492,                0.70911,                 1.7952,             0.00042792,             0.00042792,             0.00042792
                     58,                0.94237,                0.64074,                 0.6885,                 1.1977,                0.85191,                0.86178,                0.87166,                0.59825,                0.85191,                0.86178,                0.87166,                0.60562,                  1.535,                0.47103,                0.69738,                 1.8449,             0.00042501,             0.00042501,             0.00042501
                     59,                0.94128,                0.68334,                0.72926,                 1.2004,                0.88243,                0.84993,                0.85737,                0.57446,                0.88243,                0.84993,                0.85737,                0.59744,                 1.5889,                0.45687,                0.71114,                 1.9766,              0.0004221,              0.0004221,              0.0004221
                     60,                0.94156,                 0.5796,                0.69276,                 1.2156,                0.92255,                0.83201,                0.87513,                0.57722,                0.92255,                0.83201,                0.87513,                0.60195,                 1.6203,                0.43416,                0.72398,                 2.0443,             0.00041919,             0.00041919,             0.00041919
                     61,                0.94324,                0.66511,                0.68596,                 1.2248,                0.87775,                0.82342,                0.87956,                0.59187,                0.87775,                0.82342,                0.87956,                 0.5949,                  1.588,                0.47211,                0.71575,                 2.0249,             0.00041627,             0.00041627,             0.00041627
                     62,                0.94421,                0.65392,                0.69395,                 1.2387,                0.91945,                0.80171,                0.88147,                0.58728,                0.91945,                0.80171,                0.88147,                0.59962,                 1.6513,                0.47155,                0.68552,                 1.9158,             0.00041336,             0.00041336,             0.00041336
